title,price
Apple iPhone 14 (128 GB) - Blue,"₹70,999"
Apple iPhone 14 Plus (128 GB) - Midnight,"₹80,999"
Apple iPhone 14 (128 GB) - Purple,"₹73,999"
Apple iPhone 12 (64GB) - (Product) RED,"₹50,900"
Apple iPhone 14 Plus (256 GB) - Blue,"₹90,999"
Apple iPhone 14 (128 GB) - Starlight,"₹73,999"
Apple iPhone 13 (128GB) - (Product) RED,"₹60,900"
Apple iPhone 14 Pro Max (1 TB) - Silver,"₹1,89,900"
Apple iPhone 12 (128GB) - Black,"₹57,900"
Apple iPhone 14 Plus (128 GB) - Blue,"₹79,900"
Apple iPhone 14 Pro Max (256 GB) - Gold,"₹1,49,900"
Apple iPhone 14 Plus (128 GB) - Purple,"₹79,900"
Apple iPhone 14 Plus (128 GB) - Starlight,"₹84,900"
Apple iPhone 14 Pro Max (128 GB) - Space Black,"₹1,27,999"
Apple iPhone 14 (256 GB) - Starlight,"₹84,900"
Apple iPhone 14 Pro (256 GB) - Space Black,"₹1,39,900"
